,Comedy Movies
0,"512195,Red Notice"
1,"585245,Clifford the Big Red Dog"
2,"876716,Ciao Alberto"
3,"877183,The Simpsons in Plusaversary"
4,"550988,Free Guy"
5,"654974,Home Sweet Home Alone"
6,"568124,Encanto"
7,"459151,The Boss Baby: Family Business"
8,"639721,The Addams Family 2"
9,"589754,The Last Warrior: Root of Evil"
10,"508943,Luca"
11,"451048,Jungle Cruise"
12,"805411,Descendants: The Royal Wedding"
13,"871964,Nobody Sleeps in the Woods Tonight 2"
14,"675445,PAW Patrol: The Movie"
15,"379686,Space Jam: A New Legacy"
16,"425909,Ghostbusters: Afterlife"
17,"762469,Father Christmas Is Back"
18,"337404,Cruella"
19,"846167,In for a Murder"
20,"772436,Matando Cabos 2: La Máscara del Máscara"
21,"885458,Detetive Madeinusa"
22,"529203,The Croods: A New Age"
23,"760747,The Trip"
24,"879163,Peçanha Contra o Animal"
25,"726684,Miraculous World: Shanghai – The Legend of Ladydragon"
26,"613098,Undercover Wedding Crashers"
27,"809065,Flashback"
28,"785533,The Princess Switch 3: Romancing the Star"
29,"755812,Miraculous World: New York, United HeroeZ"
30,"812204,Rock Dog 2: Rock Around the Park"
31,"813258,Monster Pets: A Hotel Transylvania Short"
32,"711475,Here Today"
33,"324857,Spider-Man: Into the Spider-Verse"
34,"843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog"
35,"354912,Coco"
36,"641501,How I Became a Superhero"
37,"573164,Eggs Run"
38,"347201,Boruto: Naruto the Movie"
39,"887645,Just Short of Perfect"
40,"840756,Lokillo"
41,"846214,The Simpsons: The Good, the Bart, and the Loki"
42,"587807,Tom & Jerry"
43,"597316,My Little Pony: A New Generation"
44,"508442,Soul"
45,"729720,The Last Mercenary"
46,"852663,LEGO Monkie Kid: A Hero Is Born"
47,"585083,Hotel Transylvania: Transformania"
48,"449406,Vivo"
49,"522478,Peter Rabbit 2: The Runaway"
50,"617502,Jolt"
51,"680319,We Broke Up"
52,"400160,The SpongeBob Movie: Sponge on the Run"
53,"482321,Ron's Gone Wrong"
54,"531219,Roald Dahl's The Witches"
55,"623135,Sinkhole"
56,"678580,El mesero"
57,"763873,Under Wraps"
58,"550205,Wish Dragon"
59,"834404,Teen Titans Go! See Space Jam"
60,"741074,Once Upon a Snowman"
61,"857702,LEGO Star Wars Terrifying Tales"
62,"768744,My Hero Academia: World Heroes' Mission"
63,"784500,Pretty Guardian Sailor Moon Eternal The Movie Part 2"
64,"293660,Deadpool"
65,"613583,Kids Are Back"
66,"43074,Ghostbusters"
67,"532067,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson"
68,"214756,Ted 2"
69,"410113,The Loud House Movie"
70,"572154,Rascal Does Not Dream of a Dreaming Girl"
71,"98566,Teenage Mutant Ninja Turtles"
72,"330457,Frozen II"
73,"883648,Little Big Mouth"
74,"800497,Werewolves Within"
