,Similar Movies ID
0,"512195,22804"
1,"512195,23168"
2,"512195,13027"
3,"512195,13056"
4,"512195,16617"
5,"585245,12689"
6,"585245,11835"
7,"585245,11850"
8,"585245,13448"
9,"585245,13377"
10,"876716,1639"
11,"876716,2756"
12,"876716,5910"
13,"876716,7555"
14,"876716,439"
15,"877183,15999"
16,"877183,14239"
17,"877183,13934"
18,"877183,13648"
19,"877183,20618"
20,"550988,97"
21,"550988,755"
22,"550988,787"
23,"550988,1902"
24,"550988,1927"
25,"654974,772"
26,"654974,778"
27,"654974,508"
28,"654974,562"
29,"654974,927"
30,"568124,449406"
31,"568124,454640"
32,"568124,508943"
33,"568124,527774"
34,"568124,508439"
35,"459151,9806"
36,"459151,9823"
37,"459151,9836"
38,"459151,9837"
39,"459151,9714"
40,"639721,639721"
41,"639721,11"
42,"639721,12"
43,"639721,13"
44,"639721,18"
45,"589754,589754"
46,"589754,576784"
47,"589754,775"
48,"589754,264038"
49,"589754,742922"
50,"508943,71689"
51,"508943,64678"
52,"508943,75656"
53,"508943,73723"
54,"508943,61979"
55,"451048,62211"
56,"451048,121734"
57,"451048,119698"
58,"451048,130925"
59,"451048,585"
60,"805411,4564"
61,"805411,3933"
62,"805411,6557"
63,"805411,2018"
64,"805411,9339"
65,"871964,8867"
66,"871964,10216"
67,"871964,10424"
68,"871964,11001"
69,"871964,11090"
70,"675445,675445"
71,"675445,472516"
72,"675445,570269"
73,"675445,570273"
74,"675445,585077"
75,"379686,73"
76,"379686,756"
77,"379686,1885"
78,"379686,812"
79,"379686,953"
80,"425909,9806"
81,"425909,9823"
82,"425909,9714"
83,"425909,10040"
84,"425909,18"
85,"762469,13932"
86,"762469,13934"
87,"762469,13955"
88,"762469,13969"
89,"762469,13971"
90,"337404,756"
91,"337404,769"
92,"337404,1949"
93,"337404,1878"
94,"337404,612"
95,"846167,17431"
96,"846167,17445"
97,"846167,17466"
98,"846167,16000"
99,"846167,14830"
100,"772436,11"
101,"772436,13"
102,"772436,18"
103,"772436,22"
104,"772436,24"
105,"885458,13"
106,"885458,35"
107,"885458,75"
108,"885458,747"
109,"885458,760"
110,"529203,843241"
111,"529203,12594"
112,"529203,14128"
113,"529203,14140"
114,"529203,14160"
115,"760747,9705"
116,"760747,9725"
117,"760747,9728"
118,"760747,9730"
119,"760747,9731"
120,"879163,13955"
121,"879163,13969"
122,"879163,13971"
123,"879163,13973"
124,"879163,13989"
125,"726684,1924"
126,"726684,1927"
127,"726684,843"
128,"726684,607"
129,"726684,557"
130,"613098,2907"
131,"613098,2976"
132,"613098,2979"
133,"613098,1621"
134,"613098,1624"
135,"809065,51052"
136,"809065,49012"
137,"809065,49013"
138,"809065,49022"
139,"809065,58651"
140,"785533,876103"
141,"785533,874122"
142,"785533,874157"
143,"785533,874239"
144,"785533,874260"
145,"755812,69735"
146,"755812,71676"
147,"755812,75656"
148,"755812,73935"
149,"755812,76025"
150,"812204,239"
151,"812204,252"
152,"812204,257"
153,"812204,290"
154,"812204,293"
155,"813258,13934"
156,"813258,24480"
157,"813258,10258"
158,"813258,12110"
159,"813258,10577"
160,"711475,58651"
161,"711475,58595"
162,"711475,63710"
163,"711475,64807"
164,"711475,63404"
165,"324857,17445"
166,"324857,15969"
167,"324857,18925"
168,"324857,14830"
169,"324857,14836"
170,"843906,728144"
171,"843906,560066"
172,"843906,522406"
173,"843906,533592"
174,"843906,682254"
175,"354912,12"
176,"354912,15"
177,"354912,22"
178,"354912,69"
179,"354912,87"
180,"641501,810223"
181,"641501,63492"
182,"641501,63311"
183,"641501,65291"
184,"641501,64682"
185,"573164,13932"
186,"573164,13934"
187,"573164,13955"
188,"573164,13969"
189,"573164,13971"
190,"347201,895003"
191,"347201,895006"
192,"347201,75624"
193,"347201,75629"
194,"347201,68555"
195,"887645,15906"
196,"887645,15969"
197,"887645,18937"
198,"887645,14844"
199,"887645,14849"
200,"840756,371370"
201,"840756,367326"
202,"840756,382512"
203,"840756,382517"
204,"840756,382591"
205,"846214,846214"
206,"846214,17414"
207,"846214,32195"
208,"846214,43838"
209,"846214,71068"
210,"587807,15969"
211,"587807,18925"
212,"587807,14836"
213,"587807,22804"
214,"587807,21208"
215,"597316,15016"
216,"597316,15906"
217,"597316,150540"
218,"597316,335360"
219,"597316,201676"
220,"508442,580175"
221,"508442,527774"
222,"508442,534338"
223,"508442,536869"
224,"508442,531509"
225,"729720,201"
226,"729720,217"
227,"729720,218"
228,"729720,232"
229,"729720,239"
230,"852663,106164"
231,"852663,137106"
232,"852663,280217"
233,"852663,382512"
234,"852663,401887"
235,"585083,1267"
236,"585083,950"
237,"585083,953"
238,"585083,2062"
239,"585083,3170"
240,"449406,252"
241,"449406,285"
242,"449406,12"
243,"449406,63"
244,"449406,87"
245,"522478,51052"
246,"522478,49012"
247,"522478,49013"
248,"522478,49017"
249,"522478,49021"
250,"617502,440596"
251,"617502,443463"
252,"617502,376660"
253,"617502,413736"
254,"617502,326359"
255,"680319,70868"
256,"680319,71689"
257,"680319,70587"
258,"680319,71618"
259,"680319,71668"
260,"400160,22794"
261,"400160,14906"
262,"400160,13053"
263,"400160,11224"
264,"400160,12429"
265,"482321,9836"
266,"482321,10022"
267,"482321,73"
268,"482321,11011"
269,"482321,10991"
270,"531219,13932"
271,"531219,12689"
272,"531219,15212"
273,"531219,15283"
274,"531219,11835"
275,"623135,95"
276,"623135,597"
277,"623135,435"
278,"623135,568"
279,"623135,664"
280,"678580,13"
281,"678580,35"
282,"678580,75"
283,"678580,747"
284,"678580,760"
285,"763873,51052"
286,"763873,49012"
287,"763873,49013"
288,"763873,49017"
289,"763873,49022"
290,"550205,1624"
291,"550205,1636"
292,"550205,2486"
293,"550205,7350"
294,"550205,9021"
295,"834404,10715"
296,"834404,9593"
297,"834404,2300"
298,"834404,834404"
299,"834404,843906"
300,"741074,9806"
301,"741074,9837"
302,"741074,9745"
303,"741074,10009"
304,"741074,10020"
